Symbol,LTP,% Change,Open,High,Low,Qty.,link,Sector,Shares Outstanding,Market Price,Last Traded On,52 Weeks High - Low,180 Day Average,120 Day Average,1 Year Yield,EPS,P/E Ratio,Book Value,PBV,% Dividend,#,% Bonus,Right Share,30-Day Avg Volume,Market Capitalization
ACLBSL,626.5,0.89,629.8,611.0,611.0,1778.0,/CompanyDetail.aspx?symbol=ACLBSL,Microfinance,3671434.09,626.5,2024/02/15 02:59:35,777.00-500.10,563.81,571.32,-19.27,6.8,92.13,144.39,4.34,,#ValueFiscal Year,,,2974.0,2300153457.38
ADBL,236.7,1.59,236.7,230.0,230.1,42526.0,/CompanyDetail.aspx?symbol=ADBL,Commercial Banks,134516740.8,236.7,2024/02/15 02:59:54,307.70-224.00,249.44,245.24,-20.06,15.3,15.47,220.0,1.08,,#ValueFiscal Year1.(FY: 071-072),2.00(FY:078-079),,28927.0,31840112547.36
AHL,467.1,0.26,474.0,457.4,473.9,13797.0,/CompanyDetail.aspx?symbol=AHL,Hydro Power,3400000.0,467.1,2024/02/15 02:59:56,504.00-273.10,361.38,380.86,0.0,-13.5,-34.6,105.61,4.42,,#ValueFiscal Year,,,18630.0,1588140000.0
AHPC,197.0,-1.5,202.5,197.0,201.7,70181.0,/CompanyDetail.aspx?symbol=AHPC,Hydro Power,37359252.0,197.0,2024/02/15 02:59:50,316.00-190.00,222.16,226.72,-36.66,1.25,157.6,102.21,1.93,,#ValueFiscal Year1.1:1(FY: 080-081)2.(FY: 074-075)3.1:1(FY: 069-070),8.00(FY:078-079),1:1(FY:080-081),200844.0,7359772644.0
AKJCL,234.0,2.18,242.0,228.0,232.0,128953.0,/CompanyDetail.aspx?symbol=AKJCL,Hydro Power,8000000.0,234.0,2024/02/15 02:59:49,250.00-141.30,178.94,189.97,0.21,3.81,61.42,71.02,3.29,,#ValueFiscal Year,,,114975.0,1872000000.0
AKPL,189.0,-1.51,195.7,188.6,195.7,139264.0,/CompanyDetail.aspx?symbol=AKPL,Hydro Power,40814631.0,189.0,2024/02/15 02:59:51,422.00-152.40,182.31,183.05,-54.24,-15.65,-12.08,95.55,1.98,0.53(FY:078-079),#ValueFiscal Year1.1:1(FY: 080-081),,1:1(FY:),352090.0,7713965259.0
ALBSL,670.0,0.0,678.2,662.0,663.0,1074.0,/CompanyDetail.aspx?symbol=ALBSL,Microfinance,6416160.0,670.0,2024/02/15 02:59:59,"1,000.00-543.00",681.17,670.87,-32.47,-16.47,-40.68,140.84,4.76,,#ValueFiscal Year,14.29(FY:078-079),,3187.0,4298827200.0
ALICL,667.0,-1.19,679.0,667.0,675.0,30710.0,/CompanyDetail.aspx?symbol=ALICL,Life Insurance,31553005.2,667.0,2024/02/15 02:59:58,812.00-517.50,661.76,655.89,0.15,0.0,0.0,111.96,5.96,0.41(FY:079-080),#ValueFiscal Year1.1:0.6(FY: 075-076)2.2:1(FY: 074-075)3.(FY: 072-073),7.75(FY:079-080),1:0.6(FY:075-076),60199.0,21045854468.4
ANLB,1845.0,2.5,1948.3,1787.1,1800.0,1863.0,/CompanyDetail.aspx?symbol=ANLB,Microfinance,685718.0,1845.0,2024/02/15 02:59:06,"2,651.00-403.80",1848.62,1767.48,0.0,34.48,53.51,389.8,4.73,,#ValueFiscal Year,10.00(FY:079-080),,1031.0,1265149710.0
API,195.2,-0.56,198.0,194.1,196.0,167268.0,/CompanyDetail.aspx?symbol=API,Hydro Power,57865979.12,195.2,2024/02/15 02:59:46,271.30-154.70,180.69,182.4,-31.75,0.07,2788.57,103.31,1.89,,#ValueFiscal Year1.1:0.40(FY: 080-081)2.1:0.393632926(FY: 078-079)3.1:0.2938(FY: 077-078)4.1:0.47619047619(FY: 076-077),7.50(FY:078-079),1:0.40(FY:080-081),417237.0,11295439124.22
