Symbol,LTP,% Change,Open,High,Low,Qty.,link,Sector,Shares Outstanding,Market Price,Last Traded On,52 Weeks High - Low,180 Day Average,120 Day Average,1 Year Yield,EPS,P/E Ratio,Book Value,PBV,% Dividend,#,% Bonus,Right Share,30-Day Avg Volume,Market Capitalization
ACLBSL,614.9,-0.82,631.9,613.1,631.9,706.0,/CompanyDetail.aspx?symbol=ACLBSL,Microfinance,3671434.1,614.9,2024/01/30 02:59:11,830.00-500.10,561.93,559.51,-24.46,2.77,221.99,137.68,4.47,,#ValueFiscal Year,,,2740.0,2257564828.09
ADBL,245.5,-0.41,249.5,244.5,249.5,17528.0,/CompanyDetail.aspx?symbol=ADBL,Commercial Banks,134516740.8,245.5,2024/01/30 02:59:53,312.20-224.00,251.75,247.72,-18.9,15.3,16.05,220.0,1.12,,#ValueFiscal Year1.(FY: 071-072),2.00(FY:078-079),,31487.0,33023859866.4
ADBLD83,1008.0,1.79,1008.0,1008.0,1008.0,10.0,/CompanyDetail.aspx?symbol=ADBLD83,Corporate Debenture,,1008.0,2024/01/30 02:40:23,"1,144.00-865.10",999.66,1011.17,13.09,0.0,0.0,0.0,1008.0,,#ValueFiscal Year,,,150.0,0.0
AHL,436.1,0.48,445.0,428.0,428.0,18099.0,/CompanyDetail.aspx?symbol=AHL,Hydro Power,3400000.0,436.1,2024/01/30 02:59:57,480.90-273.10,347.77,363.24,0.0,-0.27,-1615.19,112.56,3.87,,#ValueFiscal Year,,,15972.0,1482740000.0
AHPC,216.8,3.68,230.0,209.1,209.1,687624.0,/CompanyDetail.aspx?symbol=AHPC,Hydro Power,37359252.0,216.8,2024/01/30 02:59:59,340.00-190.00,224.33,229.03,-35.26,1.48,146.49,102.06,2.12,,#ValueFiscal Year1.(FY: 074-075)2.1:1(FY: 069-070),,,263754.0,8099485833.6
AKJCL,238.7,2.89,242.0,233.0,235.0,159028.0,/CompanyDetail.aspx?symbol=AKJCL,Hydro Power,8000000.0,238.7,2024/01/30 02:59:56,262.00-141.30,172.31,177.93,-2.89,3.81,62.65,71.02,3.36,,#ValueFiscal Year,,,119733.0,1909600000.0
AKPL,206.0,0.0,209.0,205.0,208.0,281837.0,/CompanyDetail.aspx?symbol=AKPL,Hydro Power,40814631.0,206.0,2024/01/30 02:59:58,428.00-152.40,183.24,181.02,-49.76,-15.62,-13.19,96.49,2.13,0.53(FY:078-079),#ValueFiscal Year1.1:1(FY: 080-081),,1:1(FY:),418206.0,8407813986.0
ALBSL,702.0,0.29,703.0,690.0,690.0,2510.0,/CompanyDetail.aspx?symbol=ALBSL,Microfinance,6416160.0,702.0,2024/01/30 02:59:40,"1,089.00-543.00",684.71,668.84,-29.52,-16.47,-42.62,140.84,4.98,,#ValueFiscal Year,14.29(FY:078-079),,5269.0,4504144320.0
ALICL,701.0,-0.99,722.0,693.9,693.9,79097.0,/CompanyDetail.aspx?symbol=ALICL,Life Insurance,31553005.2,701.0,2024/01/30 02:59:53,812.00-517.50,662.65,649.82,0.86,0.0,0.0,111.96,6.26,0.41(FY:079-080),#ValueFiscal Year1.1:0.6(FY: 075-076)2.2:1(FY: 074-075)3.(FY: 072-073),7.75(FY:079-080),1:0.6(FY:075-076),59919.0,22118656645.2
ANLB,1870.0,1.03,1870.0,1838.0,1855.0,342.0,/CompanyDetail.aspx?symbol=ANLB,Microfinance,685718.0,1870.0,2024/01/30 02:59:13,"2,651.00-403.80",1878.21,1782.67,0.0,30.82,60.67,453.67,4.12,,#ValueFiscal Year,10.00(FY:079-080),,1351.0,1282292660.0
API,207.0,0.0,211.0,206.0,210.0,430346.0,/CompanyDetail.aspx?symbol=API,Hydro Power,57865978.9,207.0,2024/01/30 02:59:59,307.00-154.70,179.17,178.85,-27.87,-2.77,-74.73,102.4,2.02,,#ValueFiscal Year1.1:0.40(FY: 080-081)2.1:0.393632926(FY: 078-079)3.1:0.2938(FY: 077-078)4.1:0.47619047619(FY: 076-077),7.50(FY:078-079),1:0.40(FY:080-081),449744.0,11978257632.3
AVYAN,614.0,-1.29,627.3,611.0,611.0,2874.0,/CompanyDetail.aspx?symbol=AVYAN,Microfinance,2500000.0,614.0,2024/01/30 02:59:38,807.80-549.00,627.01,606.67,-15.89,-45.37,-13.53,99.6,6.16,,#ValueFiscal Year,,,4798.0,1535000000.0
BARUN,288.0,6.27,289.0,266.1,273.0,236474.0,/CompanyDetail.aspx?symbol=BARUN,Hydro Power,5358150.0,288.0,2024/01/30 02:59:58,294.00-191.10,226.4,227.77,9.51,-15.66,-18.39,107.25,2.69,0.26(FY:076-077),#ValueFiscal Year1.1:1(FY: 079-080)2.(FY: 073-074)3.(FY: 072-073),5.00(FY:076-077),1:1(FY:079-080),85814.0,1543147200.0
BBC,3959.0,7.67,3964.0,3700.0,3710.0,458.0,/CompanyDetail.aspx?symbol=BBC,Tradings,500000.0,3959.0,2024/01/30 02:59:43,"4,539.00-3,050.00",3781.71,3731.58,17.48,250.25,15.82,1685.32,2.35,,#ValueFiscal Year,,,311.0,1979500000.0
BEDC,367.7,3.29,372.3,352.0,355.0,56140.0,/CompanyDetail.aspx?symbol=BEDC,Hydro Power,5440534.0,367.7,2024/01/30 02:59:58,388.00-170.00,237.59,257.5,0.0,0.43,855.12,64.53,5.7,,#ValueFiscal Year,,,40592.0,2000484351.8
BFC,330.0,0.64,330.0,324.0,325.1,12637.0,/CompanyDetail.aspx?symbol=BFC,Finance,8548167.79,330.0,2024/01/30 02:59:58,377.00-284.00,311.31,311.0,-4.35,2.54,129.92,135.83,2.43,,#ValueFiscal Year1.1:0.25(FY: 074-075)2.(FY: 072-073),20.00(FY:067-068),1:0.25(FY:074-075),16909.0,2820895370.7
BGWT,612.0,3.55,620.0,583.0,600.0,35369.0,/CompanyDetail.aspx?symbol=BGWT,Hydro Power,5720647.0,612.0,2024/01/30 02:59:58,620.00-352.00,475.1,475.1,0.0,9.97,61.38,126.35,4.84,10.53(FY:079-080),#ValueFiscal Year,,,19041.0,3501035964.0
BHDC,483.0,-3.4,508.0,470.6,490.0,8744.0,/CompanyDetail.aspx?symbol=BHDC,Hydro Power,10500000.0,483.0,2024/01/30 02:59:47,514.20-286.50,363.81,385.94,20.15,23.44,20.61,119.56,4.04,5.26(FY:079-080),#ValueFiscal Year,5.00(FY:078-079),,13730.0,5071500000.0
BHL,320.0,3.53,334.0,307.0,307.0,21830.0,/CompanyDetail.aspx?symbol=BHL,Hydro Power,18279700.0,320.0,2024/01/30 02:59:51,394.70-192.70,238.1,247.78,-5.88,-17.88,-17.9,76.16,4.2,,#ValueFiscal Year,,,20004.0,5849504000.0
BHPL,490.0,-2.97,510.0,490.0,508.0,11038.0,/CompanyDetail.aspx?symbol=BHPL,Hydro Power,2500000.0,490.0,2024/01/30 02:59:58,677.20-304.10,426.7,439.01,-14.02,-0.98,-500.0,57.0,8.6,,#ValueFiscal Year,,,10570.0,1225000000.0
BNHC,414.0,0.0,419.5,405.2,410.0,5988.0,/CompanyDetail.aspx?symbol=BNHC,Hydro Power,4133044.0,414.0,2024/01/30 02:59:49,461.00-270.10,342.63,360.43,-3.04,-4.79,-86.43,86.89,4.76,,#ValueFiscal Year,,,10280.0,1711080216.0
BNT,11960.0,-1.88,12011.2,11960.0,12011.2,135.0,/CompanyDetail.aspx?symbol=BNT,Manufacturing And Processing,1210000.0,11960.0,2024/01/30 02:54:29,"16,200.00-10,500.00",12931.78,12543.26,-7.68,439.79,27.19,3340.39,3.58,,#ValueFiscal Year,,,254.0,14471600000.0
BOKD86,845.0,0.0,845.0,845.0,845.0,25.0,/CompanyDetail.aspx?symbol=BOKD86,Corporate Debenture,1600000.0,845.0,2024/01/30 11:12:26,877.00-740.10,824.52,829.75,11.18,0.0,0.0,0.0,845.0,,#ValueFiscal Year,,,62.0,1352000000.0
BPCL,318.9,0.28,324.0,318.0,324.0,17777.0,/CompanyDetail.aspx?symbol=BPCL,Hydro Power,34090650.0,318.9,2024/01/30 02:59:57,365.00-292.10,307.25,305.4,-3.36,8.82,36.16,206.85,1.54,,#ValueFiscal Year1.(FY: 070-071)2.3:2(FY: 070-071),5.00(FY:078-079),3:2(FY:070-071),30649.0,10871508285.0
BPW,1406.0,-1.69,1487.7,1403.4,1458.6,940.0,/CompanyDetail.aspx?symbol=BPW,Microfinance,300000.0,1406.0,2024/01/30 02:59:45,"1,718.00-233.10",1160.54,1159.98,0.0,89.18,15.77,103.29,13.61,,#ValueFiscal Year,,,1496.0,421800000.0
C30MF,8.48,0.59,8.48,8.32,8.32,400.0,/CompanyDetail.aspx?symbol=C30MF,Mutual Fund,75072390.0,8.48,2024/01/30 02:15:31,10.00-7.61,8.25,8.17,0.0,0.0,0.0,0.0,8.48,,#ValueFiscal Year,,,29874.0,636613867.2
CBBL,871.0,-0.23,900.0,865.1,889.0,5775.0,/CompanyDetail.aspx?symbol=CBBL,Microfinance,29771721.0,871.0,2024/01/30 02:59:49,"1,238.00-727.00",920.17,899.57,-26.5,29.71,29.32,240.61,3.62,,#ValueFiscal Year,,,12662.0,25931168991.0
CBLD88,991.0,-1.0,992.0,990.0,990.0,125.0,/CompanyDetail.aspx?symbol=CBLD88,Corporate Debenture,3000000.0,991.0,2024/01/30 02:08:57,"1,024.00-813.00",939.03,955.68,12.36,0.0,0.0,0.0,991.0,,#ValueFiscal Year,,,278.0,2973000000.0
CCBD88,967.4,-0.48,967.4,967.4,967.4,25.0,/CompanyDetail.aspx?symbol=CCBD88,Corporate Debenture,2200000.0,967.4,2024/01/30 02:36:35,"1,022.90-816.00",938.57,954.97,14.49,0.0,0.0,0.0,967.4,,#ValueFiscal Year,,,89.0,2128280000.0
CFCL,342.0,-0.87,350.0,341.1,341.1,11967.0,/CompanyDetail.aspx?symbol=CFCL,Finance,9488754.59,342.0,2024/01/30 02:59:49,423.00-275.50,333.48,331.74,3.95,-10.04,-34.06,124.66,2.74,,#ValueFiscal Year1.2:1(FY: 074-075),,2:1(FY:074-075),20156.0,3245154069.78
CGH,1005.5,10.0,1005.5,880.1,914.1,137948.0,/CompanyDetail.aspx?symbol=CGH,Hotels And Tourism,15340910.0,1005.5,2024/01/30 02:59:44,"1,520.00-796.20",1116.05,1040.88,-22.65,5.57,180.52,86.11,11.68,,#ValueFiscal Year,,,29671.0,15425285005.0
CHCL,498.0,0.83,501.8,492.0,500.1,26107.0,/CompanyDetail.aspx?symbol=CHCL,Hydro Power,79839972.08,498.0,2024/01/30 02:59:59,594.00-444.00,492.55,493.53,11.16,10.35,48.12,143.94,3.46,,#ValueFiscal Year,10.00(FY:079-080),,45357.0,39760306095.84
CHDC,1000.0,0.0,1010.0,982.5,982.5,13168.0,/CompanyDetail.aspx?symbol=CHDC,Investment,8394100.0,1000.0,2024/01/30 02:56:53,"1,217.20-681.20",992.76,977.52,29.87,14.31,69.88,163.9,6.1,,#ValueFiscal Year1.100:30(FY: 072-073),,100:30(FY:072-073),32197.0,8394100000.0
CHL,298.0,2.76,298.7,288.0,295.0,17920.0,/CompanyDetail.aspx?symbol=CHL,Hydro Power,3869775.0,298.0,2024/01/30 02:59:57,370.00-194.10,233.05,237.63,-3.87,-8.14,-36.61,89.73,3.32,0.26(FY:076-077),#ValueFiscal Year1.10:3(FY: 078-079),5.00(FY:076-077),10:3(FY:078-079),29168.0,1153192950.0
CIT,2120.0,0.95,2131.0,2101.0,2120.0,12952.0,/CompanyDetail.aspx?symbol=CIT,Investment,53137500.0,2120.0,2024/01/30 02:59:59,"2,704.00-1,850.00",2029.49,2028.43,2.86,19.94,106.32,540.07,3.93,,#ValueFiscal Year1.100:82.84(FY: 077-078),,100:82.84(FY:077-078),17214.0,112651500000.0
