Symbol,LTP,% Change,Open,High,Low,Qty.,link,Sector,Shares Outstanding,Market Price,Last Traded On,52 Weeks High - Low,180 Day Average,120 Day Average,1 Year Yield,EPS,P/E Ratio,Book Value,PBV,% Dividend,#,% Bonus,Right Share,30-Day Avg Volume,Market Capitalization
ACLBSL,620.0,0.03,621.0,607.7,619.0,1846.0,/CompanyDetail.aspx?symbol=ACLBSL,Microfinance,3671434.09,620.0,2024/02/06 02:59:52,830.00-500.10,561.47,563.24,-21.72,6.8,91.18,144.39,4.29,,#ValueFiscal Year,,,2863.0,2276289135.8
ADBL,240.7,-0.54,244.9,240.0,244.9,12116.0,/CompanyDetail.aspx?symbol=ADBL,Commercial Banks,134516740.8,240.7,2024/02/06 02:58:47,312.20-224.00,251.0,246.49,-19.23,15.3,15.73,220.0,1.09,,#ValueFiscal Year1.(FY: 071-072),2.00(FY:078-079),,28818.0,32378179510.56
ADBLD83,1000.0,0.1,1000.0,1000.0,1000.0,100.0,/CompanyDetail.aspx?symbol=ADBLD83,Corporate Debenture,,1000.0,2024/02/06 11:48:09,"1,144.00-865.10",999.59,1013.67,13.65,0.0,0.0,0.0,1000.0,,#ValueFiscal Year,,,163.0,0.0
AHL,424.3,1.51,426.0,411.2,426.0,2756.0,/CompanyDetail.aspx?symbol=AHL,Hydro Power,3400000.0,424.3,2024/02/06 02:59:58,480.90-273.10,351.75,367.49,0.0,-0.27,-1571.48,112.56,3.77,,#ValueFiscal Year,,,14973.0,1442620000.0
AHPC,207.2,0.83,208.1,206.0,206.0,59034.0,/CompanyDetail.aspx?symbol=AHPC,Hydro Power,37359252.0,207.2,2024/02/06 02:59:56,329.00-190.00,223.35,227.69,-29.04,1.48,140.0,102.06,2.03,,#ValueFiscal Year1.(FY: 074-075)2.1:1(FY: 069-070),,,262913.0,7740837014.4
AKJCL,229.0,0.88,234.0,226.1,229.9,30694.0,/CompanyDetail.aspx?symbol=AKJCL,Hydro Power,8000000.0,229.0,2024/02/06 02:59:48,262.00-141.30,174.8,182.64,-2.97,3.81,60.1,71.02,3.22,,#ValueFiscal Year,,,116290.0,1832000000.0
AKPL,196.7,0.51,197.0,194.2,197.0,105766.0,/CompanyDetail.aspx?symbol=AKPL,Hydro Power,40814631.0,196.7,2024/02/06 02:59:58,428.00-152.40,182.53,181.38,-50.83,-15.62,-12.59,96.49,2.04,0.53(FY:078-079),#ValueFiscal Year1.1:1(FY: 080-081),,1:1(FY:),410262.0,8028237917.7
ALBSL,708.0,3.81,708.0,669.0,669.0,1428.0,/CompanyDetail.aspx?symbol=ALBSL,Microfinance,6416160.0,708.0,2024/02/06 02:56:11,"1,089.00-543.00",682.16,668.47,-28.92,-16.47,-42.99,140.84,5.03,,#ValueFiscal Year,14.29(FY:078-079),,4509.0,4542641280.0
ALICL,690.0,0.15,697.0,683.2,696.0,31998.0,/CompanyDetail.aspx?symbol=ALICL,Life Insurance,31553005.2,690.0,2024/02/06 02:59:57,812.00-517.50,662.51,651.46,1.02,0.0,0.0,111.96,6.16,0.41(FY:079-080),#ValueFiscal Year1.1:0.6(FY: 075-076)2.2:1(FY: 074-075)3.(FY: 072-073),7.75(FY:079-080),1:0.6(FY:075-076),61678.0,21771573588.0
ANLB,1801.6,-1.57,1848.0,1801.2,1830.3,930.0,/CompanyDetail.aspx?symbol=ANLB,Microfinance,685718.0,1801.6,2024/02/06 02:56:43,"2,651.00-403.80",1862.92,1773.47,0.0,34.48,52.25,389.8,4.62,,#ValueFiscal Year,10.00(FY:079-080),,1267.0,1235389548.8
