Symbol,LTP,% Change,Open,High,Low,Qty.,link,Sector,Shares Outstanding,Market Price,Last Traded On,52 Weeks High - Low,180 Day Average,120 Day Average,1 Year Yield,EPS,P/E Ratio,Book Value,PBV,% Dividend,#,% Bonus,Right Share,30-Day Avg Volume,Market Capitalization
ACLBSL,605.2,-1.58,624.9,605.1,620.0,2167.0,/CompanyDetail.aspx?symbol=ACLBSL,Microfinance,3671434.1,605.2,2024/01/31 02:56:46,830.00-500.10,561.66,560.1,-24.35,2.77,218.48,137.68,4.4,,#ValueFiscal Year,,,2714.0,2221951917.32
ADBL,243.2,-0.94,247.4,243.2,245.0,16597.0,/CompanyDetail.aspx?symbol=ADBL,Commercial Banks,134516740.8,243.2,2024/01/31 02:59:37,312.20-224.00,251.7,247.48,-18.94,15.3,15.9,220.0,1.11,,#ValueFiscal Year1.(FY: 071-072),,,30810.0,32714471362.56
ADBLD83,996.0,-1.19,1005.0,995.0,1004.0,180.0,/CompanyDetail.aspx?symbol=ADBLD83,Corporate Debenture,,996.0,2024/01/31 02:54:14,"1,144.00-865.10",999.59,1012.09,11.75,0.0,0.0,0.0,996.0,,#ValueFiscal Year,,,152.0,0.0
AHL,425.3,-2.48,454.0,424.9,442.0,12349.0,/CompanyDetail.aspx?symbol=AHL,Hydro Power,3400000.0,425.3,2024/01/31 02:59:52,480.90-273.10,348.59,364.07,0.0,-0.27,-1575.19,112.56,3.78,,#ValueFiscal Year,,,15808.0,1446020000.0
AHPC,211.2,-2.58,219.1,210.1,216.9,260919.0,/CompanyDetail.aspx?symbol=AHPC,Hydro Power,37359252.0,211.2,2024/01/31 02:59:57,329.00-190.00,224.12,228.77,-36.58,1.48,142.7,102.06,2.07,,#ValueFiscal Year1.(FY: 074-075)2.1:1(FY: 069-070),,,263625.0,7890274022.4
AKJCL,230.0,-3.64,243.4,229.0,243.4,109879.0,/CompanyDetail.aspx?symbol=AKJCL,Hydro Power,8000000.0,230.0,2024/01/31 02:59:56,262.00-141.30,172.78,178.87,-4.17,3.81,60.37,71.02,3.24,,#ValueFiscal Year,,,119285.0,1840000000.0
AKPL,201.0,-2.43,209.0,199.0,208.0,366139.0,/CompanyDetail.aspx?symbol=AKPL,Hydro Power,40814631.0,201.0,2024/01/31 02:59:58,428.00-152.40,183.12,181.09,-50.96,-15.62,-12.87,96.49,2.08,0.53(FY:078-079),#ValueFiscal Year1.1:1(FY: 080-081),,1:1(FY:),415839.0,8203740831.0
ALBSL,700.0,-0.28,725.0,684.0,716.0,2935.0,/CompanyDetail.aspx?symbol=ALBSL,Microfinance,6416160.0,700.0,2024/01/31 02:58:42,"1,089.00-543.00",684.2,668.98,-29.08,-16.47,-42.5,140.84,4.97,,#ValueFiscal Year,,,5162.0,4491312000.0
ALICL,694.0,-1.0,708.0,686.0,700.0,61473.0,/CompanyDetail.aspx?symbol=ALICL,Life Insurance,31553005.2,694.0,2024/01/31 02:59:56,812.00-517.50,662.57,650.1,1.59,0.0,0.0,111.96,6.2,0.41(FY:079-080),#ValueFiscal Year1.1:0.6(FY: 075-076)2.2:1(FY: 074-075)3.(FY: 072-073),7.75(FY:079-080),1:0.6(FY:075-076),59989.0,21897785608.8
ANLB,1860.0,-0.53,1910.0,1810.0,1833.0,1212.0,/CompanyDetail.aspx?symbol=ANLB,Microfinance,685718.0,1860.0,2024/01/31 02:38:51,"2,651.00-403.80",1874.91,1780.98,0.0,30.82,60.35,453.67,4.1,,#ValueFiscal Year,,,1345.0,1275435480.0
API,203.9,-1.5,211.0,203.5,207.5,324592.0,/CompanyDetail.aspx?symbol=API,Hydro Power,57865978.9,203.9,2024/01/31 02:59:57,307.00-154.70,179.28,179.02,-28.9,-2.77,-73.61,102.4,1.99,,#ValueFiscal Year1.1:0.40(FY: 080-081)2.1:0.393632926(FY: 078-079)3.1:0.2938(FY: 077-078)4.1:0.47619047619(FY: 076-077),,1:0.40(FY:080-081),444055.0,11798873097.71
AVYAN,606.0,-1.3,616.0,604.0,612.0,3325.0,/CompanyDetail.aspx?symbol=AVYAN,Microfinance,2500000.0,606.0,2024/01/31 02:59:44,807.80-549.00,625.38,606.28,-14.51,-45.37,-13.36,99.6,6.08,,#ValueFiscal Year,,,4731.0,1515000000.0
BARUN,279.0,-3.12,299.0,276.5,285.0,288973.0,/CompanyDetail.aspx?symbol=BARUN,Hydro Power,5358150.0,279.0,2024/01/31 02:59:57,299.00-191.10,226.78,228.4,7.34,-15.66,-17.82,107.25,2.6,0.26(FY:076-077),#ValueFiscal Year1.1:1(FY: 079-080)2.(FY: 073-074)3.(FY: 072-073),5.00(FY:076-077),1:1(FY:079-080),95049.0,1494923850.0
BEDC,354.0,-3.73,380.0,345.3,370.0,40295.0,/CompanyDetail.aspx?symbol=BEDC,Hydro Power,5440534.0,354.0,2024/01/31 02:59:59,388.00-170.00,238.88,259.32,0.0,0.43,823.26,64.53,5.49,,#ValueFiscal Year,,,40579.0,1925949036.0
BFC,325.0,-1.52,335.4,319.0,335.0,10888.0,/CompanyDetail.aspx?symbol=BFC,Finance,8548167.79,325.0,2024/01/31 02:59:44,377.00-284.00,311.23,311.19,-5.6,2.54,127.95,135.83,2.39,,#ValueFiscal Year1.1:0.25(FY: 074-075)2.(FY: 072-073),20.00(FY:067-068),1:0.25(FY:074-075),16635.0,2778154531.75
BGWT,620.0,1.31,620.0,590.0,612.0,28262.0,/CompanyDetail.aspx?symbol=BGWT,Hydro Power,5720647.0,620.0,2024/01/31 02:59:55,620.00-352.00,477.37,477.37,0.0,9.97,62.19,126.35,4.91,10.53(FY:079-080),#ValueFiscal Year,,,19460.0,3546801140.0
BHDC,482.0,-0.21,486.0,466.0,475.3,8678.0,/CompanyDetail.aspx?symbol=BHDC,Hydro Power,10500000.0,482.0,2024/01/31 02:58:03,514.20-286.50,365.05,387.63,19.6,23.44,20.56,119.56,4.03,5.26(FY:079-080),#ValueFiscal Year,5.00(FY:078-079),,13501.0,5061000000.0
