Symbol,LTP,% Change,Open,High,Low,Qty.,link,Sector,Shares Outstanding,Market Price,Last Traded On,52 Weeks High - Low,180 Day Average,120 Day Average,1 Year Yield,EPS,P/E Ratio,Book Value,PBV,% Dividend,#,% Bonus,Right Share,30-Day Avg Volume,Market Capitalization
ACLBSL,712.0,5.48,724.0,688.5,688.5,10681.0,/CompanyDetail.aspx?symbol=ACLBSL,Microfinance,3671434.1,712.0,2024/03/19 02:59:06,724.00-500.10,579.74,593.39,21.71,6.8,104.71,144.39,4.93,,#ValueFiscal Year,,,3429.0,2614061079.2
ADBL,234.4,-0.26,236.0,232.0,235.0,24816.0,/CompanyDetail.aspx?symbol=ADBL,Commercial Banks,134516740.8,234.4,2024/03/19 02:59:58,275.00-223.00,244.21,240.8,-9.22,15.3,15.32,220.0,1.07,,#ValueFiscal Year1.(FY: 071-072),2.00(FY:078-079),,20346.0,31530724043.52
ADBLD83,1031.0,0.29,1031.0,1028.0,1029.0,545.0,/CompanyDetail.aspx?symbol=ADBLD83,Corporate Debenture,,1031.0,2024/03/19 02:57:54,"1,144.00-892.20",1009.58,1016.61,13.3,0.0,0.0,0.0,1031.0,,#ValueFiscal Year,,,248.0,0.0
AHL,436.3,-2.37,470.1,436.0,455.8,9662.0,/CompanyDetail.aspx?symbol=AHL,Hydro Power,3400000.0,436.3,2024/03/19 02:59:55,504.00-273.10,388.34,405.51,0.0,-13.5,-32.32,105.61,4.13,,#ValueFiscal Year,,,8638.0,1483420000.0
AHPC,181.7,-1.36,186.9,181.6,186.9,38048.0,/CompanyDetail.aspx?symbol=AHPC,Hydro Power,37359252.0,181.7,2024/03/19 02:59:48,316.00-176.00,218.47,219.08,-39.23,1.25,145.36,102.21,1.78,,#ValueFiscal Year1.1:1(FY: 080-081)2.(FY: 074-075)3.1:1(FY: 069-070),8.00(FY:078-079),1:1(FY:080-081),52700.0,6788176088.4
AKJCL,222.0,0.0,225.0,221.0,225.0,34299.0,/CompanyDetail.aspx?symbol=AKJCL,Hydro Power,8000000.0,222.0,2024/03/19 02:59:53,250.00-141.30,191.88,204.78,-2.2,3.81,58.27,71.02,3.13,,#ValueFiscal Year,,,56695.0,1776000000.0
AKPL,183.0,-1.82,190.0,183.0,190.0,66031.0,/CompanyDetail.aspx?symbol=AKPL,Hydro Power,40814631.0,183.0,2024/03/19 02:59:59,417.00-152.40,183.91,184.65,-55.04,-15.65,-11.69,95.55,1.92,0.53(FY:078-079),#ValueFiscal Year1.1:1(FY: 080-081),,1:1(FY:),89774.0,7469077473.0
ALBSL,720.0,3.36,724.0,683.5,683.5,16705.0,/CompanyDetail.aspx?symbol=ALBSL,Microfinance,6416160.0,720.0,2024/03/19 02:59:57,903.10-543.00,672.88,670.27,1.84,-16.47,-43.72,140.84,5.11,,#ValueFiscal Year,14.29(FY:078-079),,4032.0,4619635200.0
ALICL,578.0,-0.34,590.9,575.2,581.0,13801.0,/CompanyDetail.aspx?symbol=ALICL,Life Insurance,33998363.1,578.0,2024/03/19 02:59:57,812.00-517.50,642.41,642.31,-6.34,0.0,0.0,111.1,5.2,0.41(FY:079-080),#ValueFiscal Year1.1:0.6(FY: 075-076)2.2:1(FY: 074-075)3.(FY: 072-073),7.75(FY:079-080),1:0.6(FY:075-076),35710.0,19651053871.8
ANLB,2200.0,-0.77,2254.9,2182.0,2239.0,1370.0,/CompanyDetail.aspx?symbol=ANLB,Microfinance,685718.0,2200.0,2024/03/19 02:59:17,"2,651.00-403.80",1839.89,1815.47,0.0,34.48,63.81,389.8,5.64,,#ValueFiscal Year,10.00(FY:079-080),,2258.0,1508579600.0
