Symbol,LTP,% Change,Open,High,Low,Qty.,link,Sector,Shares Outstanding,Market Price,Last Traded On,52 Weeks High - Low,180 Day Average,120 Day Average,1 Year Yield,EPS,P/E Ratio,Book Value,PBV,% Dividend,#,% Bonus,Right Share,30-Day Avg Volume,Market Capitalization
ACLBSL,582.0,1.05,597.9,573.1,587.0,2358.0,/CompanyDetail.aspx?symbol=ACLBSL,Microfinance,3671434.1,576.0,2024/01/08 03:00:00,906.70-500.10,568.39,547.08,-35.34,2.77,207.94,137.68,4.18,,#ValueFiscal Year,,,2319.0,2114746041.6
ADBL,245.1,0.12,248.0,243.1,248.0,29582.0,/CompanyDetail.aspx?symbol=ADBL,Commercial Banks,134516740.8,243.7,2024/01/08 03:00:00,355.80-224.00,252.1,250.45,-29.57,-36.1,-6.75,206.78,1.18,,#ValueFiscal Year1.(FY: 071-072),,,32958.0,32781729732.96
AHL,400.0,3.55,424.0,398.0,404.0,26096.0,/CompanyDetail.aspx?symbol=AHL,Hydro Power,3400000.0,405.9,2024/01/08 03:00:00,480.90-273.10,337.46,346.89,0.0,-0.27,-1503.33,112.56,3.61,,#ValueFiscal Year,,,14869.0,1380060000.0
AHPC,256.0,0.83,265.0,255.3,260.1,228110.0,/CompanyDetail.aspx?symbol=AHPC,Hydro Power,18679626.0,255.0,2024/01/08 03:00:00,364.00-190.00,222.5,219.02,-26.45,2.96,86.15,104.12,2.45,,#ValueFiscal Year1.(FY: 074-075)2.1:1(FY: 069-070),,,125990.0,4763304630.0
AKJCL,203.0,1.45,210.0,200.1,205.0,85620.0,/CompanyDetail.aspx?symbol=AKJCL,Hydro Power,8000000.0,203.0,2024/01/08 03:00:00,262.00-141.30,168.49,165.62,-14.35,4.84,41.94,70.33,2.89,,#ValueFiscal Year,,,86062.0,1624000000.0
AKPL,184.9,0.0,192.4,182.1,187.0,173885.0,/CompanyDetail.aspx?symbol=AKPL,Hydro Power,20407316.0,185.0,2024/01/08 03:00:00,460.90-152.40,186.75,177.4,-57.46,-31.25,-5.92,92.98,1.99,0.53(FY:078-079),#ValueFiscal Year1.1:1(FY: 080-081),,1:1(FY:),332893.0,3775353460.0
ALBSL,720.0,1.13,730.0,695.0,714.0,7473.0,/CompanyDetail.aspx?symbol=ALBSL,Microfinance,6416160.0,707.9,2024/01/08 03:00:00,"1,142.90-543.00",693.47,662.88,-34.52,-16.47,-42.98,140.84,5.03,,#ValueFiscal Year,,,8191.0,4541999664.0
ALICL,674.0,3.74,683.0,664.1,670.0,74425.0,/CompanyDetail.aspx?symbol=ALICL,Life Insurance,31553005.2,657.0,2024/01/08 03:00:00,812.00-517.50,669.94,648.28,-11.57,0.0,0.0,111.96,5.87,,#ValueFiscal Year1.1:0.6(FY: 075-076)2.2:1(FY: 074-075)3.(FY: 072-073),,1:0.6(FY:075-076),50447.0,20730324416.4
ANLB,1716.0,0.18,1760.0,1677.0,1677.0,1038.0,/CompanyDetail.aspx?symbol=ANLB,Microfinance,685718.0,1711.1,2024/01/08 03:00:00,"2,651.00-403.80",1947.76,1813.67,0.0,30.82,55.52,453.67,3.77,,#ValueFiscal Year,,,1445.0,1173332069.8
API,186.0,1.08,192.0,182.8,188.5,343662.0,/CompanyDetail.aspx?symbol=API,Hydro Power,56671045.1,186.5,2024/01/08 03:00:00,315.00-154.70,179.14,174.96,-33.15,-2.83,-65.9,102.45,1.82,,#ValueFiscal Year1.1:0.40(FY: 080-081)2.1:0.393632926(FY: 078-079)3.1:0.2938(FY: 077-078)4.1:0.47619047619(FY: 076-077),,1:0.40(FY:080-081),273317.0,10569149911.15
