Symbol,LTP,% Change,Open,High,Low,Qty.,link,Sector,Shares Outstanding,Market Price,Last Traded On,52 Weeks High - Low,180 Day Average,120 Day Average,1 Year Yield,EPS,P/E Ratio,Book Value,PBV,% Dividend,#,% Bonus,Right Share,30-Day Avg Volume,Market Capitalization
ACLBSL,688.5,-0.22,693.7,657.0,679.0,7938.0,/CompanyDetail.aspx?symbol=ACLBSL,Microfinance,3671434.09,688.5,2024/03/14 02:59:54,716.30-500.10,575.57,589.65,12.87,6.8,101.25,144.39,4.77,,#ValueFiscal Year,,,2726.0,2527782370.96
ADBL,233.5,-1.06,236.0,231.4,236.0,23461.0,/CompanyDetail.aspx?symbol=ADBL,Commercial Banks,134516740.8,233.5,2024/03/14 02:59:57,275.00-223.00,244.9,241.03,-17.11,15.3,15.26,220.0,1.06,,#ValueFiscal Year1.(FY: 071-072),2.00(FY:078-079),,20926.0,31409658976.8
AHL,442.5,-1.03,474.0,440.4,456.0,4910.0,/CompanyDetail.aspx?symbol=AHL,Hydro Power,3400000.0,442.5,2024/03/14 02:59:27,504.00-273.10,384.5,404.21,0.0,-13.5,-32.78,105.61,4.19,,#ValueFiscal Year,,,12061.0,1504500000.0
AHPC,187.5,-0.27,191.0,186.0,191.0,52652.0,/CompanyDetail.aspx?symbol=AHPC,Hydro Power,37359252.0,187.5,2024/03/14 02:59:56,316.00-176.00,219.17,220.47,-38.12,1.25,150.0,102.21,1.83,,#ValueFiscal Year1.1:1(FY: 080-081)2.(FY: 074-075)3.1:1(FY: 069-070),8.00(FY:078-079),1:1(FY:080-081),59243.0,7004859750.0
AKJCL,227.8,-0.39,233.2,225.0,233.2,25411.0,/CompanyDetail.aspx?symbol=AKJCL,Hydro Power,8000000.0,227.8,2024/03/14 02:59:56,250.00-141.30,189.93,204.12,-0.52,3.81,59.79,71.02,3.21,,#ValueFiscal Year,,,64778.0,1822400000.0
AKPL,186.2,-1.06,191.5,185.8,191.0,79948.0,/CompanyDetail.aspx?symbol=AKPL,Hydro Power,40814631.0,186.2,2024/03/14 02:59:58,417.00-152.40,183.74,184.64,-54.47,-15.65,-11.9,95.55,1.95,0.53(FY:078-079),#ValueFiscal Year1.1:1(FY: 080-081),,1:1(FY:),103059.0,7599684292.2
ALBSL,690.9,-1.3,700.0,672.7,700.0,3791.0,/CompanyDetail.aspx?symbol=ALBSL,Microfinance,6416160.0,690.9,2024/03/14 02:58:16,903.10-543.00,672.38,669.1,-6.05,-16.47,-41.95,140.84,4.91,,#ValueFiscal Year,14.29(FY:078-079),,3052.0,4432924944.0
ALICL,591.9,-1.35,599.0,584.2,599.0,33996.0,/CompanyDetail.aspx?symbol=ALICL,Life Insurance,33998363.1,591.9,2024/03/14 02:59:57,812.00-517.50,645.07,644.73,-6.03,0.0,0.0,111.1,5.33,0.41(FY:079-080),#ValueFiscal Year1.1:0.6(FY: 075-076)2.2:1(FY: 074-075)3.(FY: 072-073),7.75(FY:079-080),1:0.6(FY:075-076),38023.0,20123631118.89
ANLB,2163.4,-3.33,2265.0,2080.1,2195.0,2868.0,/CompanyDetail.aspx?symbol=ANLB,Microfinance,685718.0,2163.4,2024/03/14 02:59:44,"2,651.00-403.80",1833.91,1799.97,0.0,34.48,62.74,389.8,5.55,,#ValueFiscal Year,10.00(FY:079-080),,1660.0,1483482321.2
API,188.3,-1.47,194.9,188.0,194.9,84425.0,/CompanyDetail.aspx?symbol=API,Hydro Power,57865979.12,188.3,2024/03/14 02:59:58,269.00-154.70,182.83,185.06,-26.76,0.07,2690.0,103.31,1.82,,#ValueFiscal Year1.1:0.40(FY: 080-081)2.1:0.393632926(FY: 078-079)3.1:0.2938(FY: 077-078)4.1:0.47619047619(FY: 076-077),7.50(FY:078-079),1:0.40(FY:080-081),133909.0,10896163868.3
AVYAN,644.0,-0.77,656.0,630.0,636.2,8334.0,/CompanyDetail.aspx?symbol=AVYAN,Microfinance,2500000.0,644.0,2024/03/14 02:59:35,807.80-549.00,611.68,608.78,1.74,-49.97,-12.89,74.62,8.63,,#ValueFiscal Year,,,4544.0,1610000000.0
BARUN,251.0,-0.4,256.6,250.1,253.0,28523.0,/CompanyDetail.aspx?symbol=BARUN,Hydro Power,5358150.0,251.0,2024/03/14 02:59:48,299.00-191.10,238.35,245.06,-4.56,-13.94,-18.01,104.2,2.41,0.26(FY:076-077),#ValueFiscal Year1.1:1(FY: 079-080)2.(FY: 073-074)3.(FY: 072-073),5.00(FY:076-077),1:1(FY:079-080),38782.0,1344895650.0
BBC,3900.0,-1.24,3900.0,3835.9,3900.0,215.0,/CompanyDetail.aspx?symbol=BBC,Tradings,500000.0,3900.0,2024/03/14 02:59:33,"4,539.00-3,050.00",3756.46,3789.36,18.18,250.25,15.58,1685.32,2.31,,#ValueFiscal Year,,,890.0,1950000000.0
BEDC,354.9,-0.31,363.0,348.9,348.9,5093.0,/CompanyDetail.aspx?symbol=BEDC,Hydro Power,5440534.0,354.9,2024/03/14 02:59:40,412.90-170.00,282.12,310.77,0.0,-4.21,-84.3,60.14,5.9,,#ValueFiscal Year,,,24527.0,1930845516.6
BFC,346.9,-0.86,355.0,344.1,350.0,24880.0,/CompanyDetail.aspx?symbol=BFC,Finance,8548167.79,346.9,2024/03/14 02:59:59,377.00-284.00,317.01,322.62,6.38,2.54,136.57,135.83,2.55,,#ValueFiscal Year1.1:0.25(FY: 074-075)2.(FY: 072-073),20.00(FY:067-068),1:0.25(FY:074-075),28597.0,2965359406.35
BGWT,598.0,-0.99,600.0,589.0,592.0,8477.0,/CompanyDetail.aspx?symbol=BGWT,Hydro Power,5720647.0,598.0,2024/03/14 02:59:47,710.00-352.00,516.63,544.5,0.0,13.2,45.3,119.92,4.99,10.53(FY:079-080),#ValueFiscal Year,,,8849.0,3420946906.0
BHDC,478.0,0.63,480.0,469.0,480.0,938.0,/CompanyDetail.aspx?symbol=BHDC,Hydro Power,10500000.0,478.0,2024/03/14 02:59:57,523.00-286.50,406.47,433.75,10.83,16.75,28.54,116.84,4.09,5.26(FY:079-080),#ValueFiscal Year,5.00(FY:078-079),,11148.0,5019000000.0
BHL,341.0,-1.16,373.3,339.2,351.9,7018.0,/CompanyDetail.aspx?symbol=BHL,Hydro Power,18279700.0,341.0,2024/03/14 02:59:20,394.00-192.70,271.95,293.9,1.79,-18.3,-18.63,67.01,5.09,,#ValueFiscal Year,,,34849.0,6233377700.0
BHPL,475.1,-3.04,495.0,475.1,490.0,5212.0,/CompanyDetail.aspx?symbol=BHPL,Hydro Power,2500000.0,475.1,2024/03/14 02:59:56,569.50-304.10,450.44,462.36,-14.24,-0.98,-484.8,57.0,8.34,,#ValueFiscal Year,,,8131.0,1187750000.0
BNHC,479.5,2.02,485.5,465.0,479.3,22316.0,/CompanyDetail.aspx?symbol=BNHC,Hydro Power,4000000.0,479.5,2024/03/14 02:59:57,511.90-270.10,382.92,403.87,11.51,1.63,294.17,91.83,5.22,,#ValueFiscal Year,,,16758.0,1918000000.0
BNL,20648.6,-2.0,20648.6,20648.6,20648.6,10.0,/CompanyDetail.aspx?symbol=BNL,Manufacturing And Processing,1948890.0,20648.6,2024/03/14 11:02:54,"23,765.60-2,266.60",11492.08,11774.54,829.2,-263.62,-78.33,3119.7,6.62,,#ValueFiscal Year,,,124.0,40241850054.0
BNT,13700.0,-3.51,13983.0,13679.0,13920.0,363.0,/CompanyDetail.aspx?symbol=BNT,Manufacturing And Processing,1210000.0,13700.0,2024/03/14 02:58:19,"17,508.00-10,500.00",12844.76,12740.52,11.0,-342.47,-40.0,3173.06,4.32,,#ValueFiscal Year,,,1320.0,16577000000.0
BOKD86,920.0,1.88,920.0,903.0,903.0,70.0,/CompanyDetail.aspx?symbol=BOKD86,Corporate Debenture,1600000.0,920.0,2024/03/14 02:24:44,920.00-745.00,843.38,859.4,21.92,0.0,0.0,0.0,920.0,,#ValueFiscal Year,,,74.0,1472000000.0
BPCL,311.1,-1.08,316.1,311.1,314.0,6799.0,/CompanyDetail.aspx?symbol=BPCL,Hydro Power,34090650.0,311.1,2024/03/14 02:58:50,365.00-292.10,307.21,309.28,-2.78,10.46,29.74,206.73,1.5,,#ValueFiscal Year1.(FY: 070-071)2.3:2(FY: 070-071),5.00(FY:078-079),3:2(FY:070-071),9948.0,10605601215.0
C30MF,8.73,2.11,8.73,8.55,8.55,2400.0,/CompanyDetail.aspx?symbol=C30MF,Mutual Fund,75072390.0,8.73,2024/03/14 02:43:16,10.00-7.61,8.3,8.43,0.0,0.0,0.0,0.0,8.73,,#ValueFiscal Year,,,1655.0,655381964.7
CBBL,864.9,-1.83,888.0,852.6,881.0,12626.0,/CompanyDetail.aspx?symbol=CBBL,Microfinance,29771721.0,864.9,2024/03/14 02:59:59,"1,052.50-727.00",889.39,871.55,5.48,29.3,29.52,231.52,3.74,,#ValueFiscal Year,,,9634.0,25749561492.9
CCBD88,1016.0,2.0,1016.0,1016.0,1016.0,25.0,/CompanyDetail.aspx?symbol=CCBD88,Corporate Debenture,2200000.0,1016.0,2024/03/14 01:37:30,"1,022.90-831.00",964.67,987.27,24.04,0.0,0.0,0.0,1016.0,,#ValueFiscal Year,,,81.0,2235200000.0
CFCL,349.0,-1.97,362.0,346.1,359.0,14155.0,/CompanyDetail.aspx?symbol=CFCL,Finance,9488754.59,349.0,2024/03/14 02:59:52,423.00-275.50,334.65,339.32,9.75,-10.04,-34.76,124.66,2.8,,#ValueFiscal Year1.2:1(FY: 074-075),,2:1(FY:074-075),18283.0,3311575351.91
CGH,830.0,-1.54,859.8,830.0,859.8,20354.0,/CompanyDetail.aspx?symbol=CGH,Hotels And Tourism,15340910.0,830.0,2024/03/14 02:59:57,"1,520.00-796.20",1007.79,956.44,-27.19,8.19,101.34,89.09,9.32,,#ValueFiscal Year,,,18002.0,12732955300.0
CHCL,475.0,0.0,479.4,469.0,471.0,17615.0,/CompanyDetail.aspx?symbol=CHCL,Hydro Power,79839972.1,475.0,2024/03/14 02:59:50,594.00-452.10,489.16,493.59,1.5,9.5,50.0,131.8,3.6,,#ValueFiscal Year,10.00(FY:079-080),,24353.0,37923986747.5
CHDC,971.0,-0.31,977.9,961.0,961.0,4607.0,/CompanyDetail.aspx?symbol=CHDC,Investment,8394100.0,971.0,2024/03/14 02:59:05,"1,217.20-681.20",979.34,984.16,33.4,12.78,75.98,165.63,5.86,,#ValueFiscal Year1.100:30(FY: 072-073),,100:30(FY:072-073),7497.0,8150671100.0
CHL,298.0,-1.42,307.9,298.0,302.0,5444.0,/CompanyDetail.aspx?symbol=CHL,Hydro Power,3869775.0,298.0,2024/03/14 02:59:19,337.00-194.10,254.17,269.24,-8.17,-0.54,-551.85,91.49,3.26,0.26(FY:076-077),#ValueFiscal Year1.10:3(FY: 078-079),5.00(FY:076-077),10:3(FY:078-079),21104.0,1153192950.0
CIT,2152.0,-0.94,2177.0,2140.0,2177.0,8838.0,/CompanyDetail.aspx?symbol=CIT,Investment,53137504.0,2152.0,2024/03/14 02:59:59,"2,704.00-1,850.00",2047.84,2095.23,5.8,20.55,104.72,559.48,3.85,,#ValueFiscal Year1.100:82.84(FY: 077-078),,100:82.84(FY:077-078),10514.0,114351908608.0
CITY,608.0,-2.56,631.0,607.0,624.0,11793.0,/CompanyDetail.aspx?symbol=CITY,Hotels And Tourism,16740000.0,608.0,2024/03/14 02:59:34,782.50-111.10,616.19,625.32,0.0,-14.1,-43.12,96.5,6.3,,#ValueFiscal Year,,,11902.0,10177920000.0
CKHL,611.0,-0.15,620.0,588.1,600.1,23160.0,/CompanyDetail.aspx?symbol=CKHL,Hydro Power,,611.0,2024/03/14 02:59:58,686.80-300.00,547.32,547.32,0.0,0.0,0.0,0.0,611.0,,#ValueFiscal Year,,,29246.0,0.0
CLI,466.0,-3.12,482.0,465.0,481.0,74640.0,/CompanyDetail.aspx?symbol=CLI,Life Insurance,37500000.0,466.0,2024/03/14 02:59:59,567.00-375.00,454.64,467.87,0.0,0.0,0.0,177.14,2.63,0.26(FY:079-080),#ValueFiscal Year,5.00(FY:079-080),,43725.0,17475000000.0
CMF1,8.87,-0.89,8.87,8.64,8.78,25937.0,/CompanyDetail.aspx?symbol=CMF1,Mutual Fund,82000000.0,8.87,2024/03/14 02:59:57,9.40-6.96,8.27,8.43,18.27,0.0,0.0,0.0,8.87,15.00(FY:076-077),#ValueFiscal Year,,,17999.0,727340000.0
CMF2,8.1,0.0,8.1,7.95,7.95,6883.0,/CompanyDetail.aspx?symbol=CMF2,Mutual Fund,56000000.0,8.1,2024/03/14 02:57:17,10.39-6.81,7.82,7.96,2.66,0.0,0.0,0.0,0.0,,#ValueFiscal Year,,,7404.0,453600000.0
CORBL,439.0,0.94,445.0,427.0,427.0,12749.0,/CompanyDetail.aspx?symbol=CORBL,Development Bank Limited,5250000.0,439.0,2024/03/14 02:59:59,475.00-277.80,362.74,379.48,41.11,3.49,125.79,147.47,2.98,,#ValueFiscal Year1.1:1.5(FY: 078-079),,(FY:1:1.5),10072.0,2304750000.0
CYCL,1379.0,-2.89,1420.0,1336.6,1391.6,13806.0,/CompanyDetail.aspx?symbol=CYCL,Microfinance,2664243.9,1379.0,2024/03/14 02:59:58,"1,560.00-882.00",1095.82,1114.05,2.53,15.84,87.06,214.32,6.43,,#ValueFiscal Year,30.00(FY:078-079),,8868.0,3673992338.1
CZBIL,165.4,-1.02,168.3,165.0,167.0,17970.0,/CompanyDetail.aspx?symbol=CZBIL,Commercial Banks,142009740.06,165.4,2024/03/14 02:59:35,207.80-156.80,171.13,169.61,-9.12,11.02,15.01,146.2,1.13,,#ValueFiscal Year1.10:2.5(FY: 072-073)2.10:5.50(FY: 071-072),12.91(FY:077-078),10:2.5(FY:072-073),23931.0,23488411005.92
DDBL,780.0,-1.28,790.0,774.7,777.2,11061.0,/CompanyDetail.aspx?symbol=DDBL,Microfinance,15510881.66,780.0,2024/03/14 02:58:01,913.00-606.70,748.78,753.13,11.43,15.64,49.87,212.84,3.66,,#ValueFiscal Year1.1:1(FY: 073-074)2.(FY: 071-072),,1:1(FY:073-074),6367.0,12098487694.8
DHPL,202.0,-1.94,209.0,202.0,204.0,19899.0,/CompanyDetail.aspx?symbol=DHPL,Hydro Power,2640000.0,202.0,2024/03/14 02:59:51,242.00-134.00,175.75,187.51,-12.17,-10.86,-18.6,-3.42,-59.06,,#ValueFiscal Year,,,18936.0,533280000.0
DLBS,990.0,-5.31,1024.6,961.0,1024.6,4390.0,/CompanyDetail.aspx?symbol=DLBS,Microfinance,1331000.0,990.0,2024/03/14 02:59:44,"1,045.50-579.00",751.95,808.98,13.79,-30.82,-32.12,137.74,7.19,,#ValueFiscal Year,,,2812.0,1317690000.0
DOLTI,403.0,-3.82,419.7,402.5,410.7,28829.0,/CompanyDetail.aspx?symbol=DOLTI,Hydro Power,5364860.0,403.0,2024/03/14 02:59:59,450.00-177.40,291.18,323.01,0.0,-3.68,-109.51,71.3,5.65,,#ValueFiscal Year,,,40223.0,2162038580.0
DORDI,432.0,1.84,450.0,418.5,424.0,38627.0,/CompanyDetail.aspx?symbol=DORDI,Hydro Power,10542604.0,432.0,2024/03/14 02:59:53,576.00-191.60,317.01,358.85,35.47,6.04,71.52,103.06,4.19,,#ValueFiscal Year,,,58319.0,4554404928.0
EBL,517.0,-0.96,520.0,514.1,515.0,13637.0,/CompanyDetail.aspx?symbol=EBL,Commercial Banks,117679040.0,517.0,2024/03/14 02:59:54,633.00-448.00,509.4,511.61,1.0,29.12,17.75,219.57,2.35,,#ValueFiscal Year,,,20530.0,60840063680.0
