Symbol,LTP,% Change,Open,High,Low,Qty.,link,Sector,Shares Outstanding,Market Price,Last Traded On,52 Weeks High - Low,180 Day Average,120 Day Average,1 Year Yield,EPS,P/E Ratio,Book Value,PBV,% Dividend,#,% Bonus,Right Share,30-Day Avg Volume,Market Capitalization
BHDC,463.0,1.98,464.1,445.4,463.0,11571.0,/CompanyDetail.aspx?symbol=BHDC,Hydro Power,10500000.0,463.0,2024/03/07 02:58:56,523.00-286.50,400.32,428.77,14.32,16.75,27.64,116.84,3.96,5.26(FY:079-080),#ValueFiscal Year,5.00(FY:078-079),,10911.0,4861500000.0
BHL,364.0,4.3,364.0,343.2,352.4,21416.0,/CompanyDetail.aspx?symbol=BHL,Hydro Power,18279700.0,364.0,2024/03/07 02:59:58,394.00-192.70,266.73,288.67,8.66,-18.3,-19.89,67.01,5.43,,#ValueFiscal Year,,,41070.0,6653810800.0
BHPL,498.9,4.15,506.9,483.2,488.5,7615.0,/CompanyDetail.aspx?symbol=BHPL,Hydro Power,2500000.0,498.9,2024/03/07 02:59:31,572.00-304.10,444.32,459.09,-5.57,-0.98,-509.08,57.0,8.75,,#ValueFiscal Year,,,9474.0,1247250000.0
BNHC,483.8,5.96,502.0,440.0,447.5,64515.0,/CompanyDetail.aspx?symbol=BNHC,Hydro Power,4000000.0,483.8,2024/03/07 02:59:59,511.90-270.10,376.1,397.57,12.25,1.63,296.81,91.83,5.27,,#ValueFiscal Year,,,19791.0,1935200000.0
BNL,21500.0,2.38,21500.0,18900.0,20580.0,330.0,/CompanyDetail.aspx?symbol=BNL,Manufacturing And Processing,1948890.0,21500.0,2024/03/07 02:54:33,"23,765.60-2,266.60",10887.74,11168.89,867.51,-263.62,-81.56,3119.7,6.89,,#ValueFiscal Year,,,133.0,41901135000.0
BNT,14000.0,-4.35,14926.0,13725.0,14926.0,2237.0,/CompanyDetail.aspx?symbol=BNT,Manufacturing And Processing,1210000.0,14000.0,2024/03/07 02:59:00,"17,508.00-10,500.00",12809.25,12662.67,9.89,-342.47,-40.88,3173.06,4.41,,#ValueFiscal Year,,,1192.0,16940000000.0
BOKD86,918.0,2.0,918.0,899.0,899.0,75.0,/CompanyDetail.aspx?symbol=BOKD86,Corporate Debenture,1600000.0,918.0,2024/03/07 01:28:19,918.00-740.10,840.58,856.32,21.65,0.0,0.0,0.0,918.0,,#ValueFiscal Year,,,69.0,1468800000.0
BPCL,310.0,0.32,321.0,308.2,315.0,7339.0,/CompanyDetail.aspx?symbol=BPCL,Hydro Power,34090650.0,310.0,2024/03/07 02:58:52,365.00-292.10,306.89,308.76,-4.32,10.46,29.64,206.73,1.5,,#ValueFiscal Year1.(FY: 070-071)2.3:2(FY: 070-071),5.00(FY:078-079),3:2(FY:070-071),10533.0,10568101500.0
C30MF,8.31,0.48,8.31,8.12,8.12,800.0,/CompanyDetail.aspx?symbol=C30MF,Mutual Fund,75072390.0,8.31,2024/03/07 02:34:56,10.00-7.61,8.3,8.41,0.0,0.0,0.0,0.0,8.31,,#ValueFiscal Year,,,1641.0,623851560.9
CBBL,821.0,0.49,830.0,821.0,829.9,8123.0,/CompanyDetail.aspx?symbol=CBBL,Microfinance,29771721.0,821.0,2024/03/07 02:59:42,"1,052.50-727.00",892.55,872.5,-19.75,29.3,28.02,231.52,3.55,,#ValueFiscal Year,,,7478.0,24442582941.0
