Symbol,LTP,% Change,Open,High,Low,Qty.,link,Sector,Shares Outstanding,Market Price,Last Traded On,52 Weeks High - Low,180 Day Average,120 Day Average,1 Year Yield,EPS,P/E Ratio,Book Value,PBV,% Dividend,#,% Bonus,Right Share,30-Day Avg Volume,Market Capitalization
ACLBSL,1024.0,-0.1,1035.0,1020.1,1020.1,2741.0,/CompanyDetail.aspx?symbol=ACLBSL,Microfinance,3671434.09,1024.0,2025/01/05 02:59:16,"1,491.00-559.00",1120.34,1058.71,79.59,23.44,43.69,142.28,7.2,,#ValueFiscal Year,,,2757.0,3759548508.16
ADBL,302.0,-1.31,310.0,300.1,310.0,31591.0,/CompanyDetail.aspx?symbol=ADBL,Commercial Banks,138552243.0,302.0,2025/01/05 02:59:58,428.40-220.50,357.96,354.99,23.27,-3.9,-77.44,234.4,1.29,,#ValueFiscal Year1.(FY: 071-072),,,47931.0,41842777386.0
ADBLD83,1111.0,-1.33,1111.0,1111.0,1111.0,25.0,/CompanyDetail.aspx?symbol=ADBLD83,Corporate Debenture,,1111.0,2025/01/05 01:14:10,"1,160.00-966.00",1103.94,1121.05,7.86,0.0,0.0,0.0,1111.0,,#ValueFiscal Year,,,100.0,0.0
AHL,730.9,1.67,731.0,707.4,707.4,10644.0,/CompanyDetail.aspx?symbol=AHL,Hydro Power,3400000.0,730.9,2025/01/05 02:59:59,904.00-388.00,686.38,692.4,86.03,8.97,81.48,97.37,7.51,,#ValueFiscal Year,,,8372.0,2485060000.0
AHPC,246.9,1.02,251.9,242.0,244.0,94495.0,/CompanyDetail.aspx?symbol=AHPC,Hydro Power,38480029.56,246.9,2025/01/05 02:59:56,349.00-149.00,264.74,271.2,4.35,11.77,20.98,106.63,2.32,0.16(FY:080-081),#ValueFiscal Year1.1:1(FY: 080-081)2.(FY: 074-075)3.1:1(FY: 069-070),3.00(FY:080-081),1:1(FY:080-081),106569.0,9500719298.36
AKJCL,195.5,0.57,198.2,192.3,198.2,71237.0,/CompanyDetail.aspx?symbol=AKJCL,Hydro Power,20000000.0,195.5,2025/01/05 02:59:43,274.90-150.90,212.2,209.1,-1.76,1.67,117.07,87.35,2.24,,#ValueFiscal Year1.1:1.5(FY: 081-082),,1:1.5(FY:081-082),153594.0,3910000000.0
AKPL,231.0,0.48,234.4,228.5,234.4,69136.0,/CompanyDetail.aspx?symbol=AKPL,Hydro Power,38959421.0,231.0,2025/01/05 02:59:59,326.00-157.20,245.36,248.22,25.89,8.56,26.99,97.53,2.37,0.53(FY:078-079),#ValueFiscal Year1.1:1(FY: 080-081),,1:1(FY:),98639.0,8999626251.0
ALBSL,790.0,-0.16,800.0,787.0,800.0,2420.0,/CompanyDetail.aspx?symbol=ALBSL,Microfinance,6416160.0,790.0,2025/01/05 02:59:48,"1,177.00-616.90",997.2,950.83,13.51,-33.3,-23.72,157.97,5.0,,#ValueFiscal Year,,,3667.0,5068766400.0
ALICL,706.1,0.16,718.9,706.0,718.9,20200.0,/CompanyDetail.aspx?symbol=ALICL,Life Insurance,33998363.07,706.1,2025/01/05 02:59:48,825.00-523.00,724.56,723.65,9.8,15.64,45.15,123.11,5.74,0.41(FY:079-080),#ValueFiscal Year1.1:0.6(FY: 075-076)2.2:1(FY: 074-075)3.(FY: 072-073),7.75(FY:079-080),1:0.6(FY:075-076),17606.0,24006244163.73
ANLB,6120.0,-6.85,6438.6,5939.0,6438.6,1411.0,/CompanyDetail.aspx?symbol=ANLB,Microfinance,783423.68,6120.0,2025/01/05 02:59:58,"6,570.00-1,677.00",4383.24,5022.32,249.71,-22.23,-275.3,355.98,17.19,0.75(FY:080-081),#ValueFiscal Year,14.25(FY:080-081),,3061.0,4794552891.0
API,259.0,0.0,263.0,256.3,260.9,81935.0,/CompanyDetail.aspx?symbol=API,Hydro Power,60759278.1,259.0,2025/01/05 02:59:54,390.00-162.00,285.37,289.96,41.53,11.96,21.66,112.05,2.31,,#ValueFiscal Year1.1:0.40(FY: 080-081)2.1:0.393632926(FY: 078-079)3.1:0.2938(FY: 077-078)4.1:0.47619047619(FY: 076-077),,1:0.40(FY:080-081),130992.0,15736653027.9
AVYAN,995.0,-2.16,1015.0,985.2,1000.0,3278.0,/CompanyDetail.aspx?symbol=AVYAN,Microfinance,2500000.0,995.0,2025/01/05 02:59:48,"1,195.00-574.50",1003.12,989.46,68.59,-52.76,-18.86,94.13,10.57,,#ValueFiscal Year,,,8896.0,2487500000.0
BARUN,405.1,0.02,413.1,403.1,413.1,49585.0,/CompanyDetail.aspx?symbol=BARUN,Hydro Power,5358150.0,405.1,2025/01/05 02:59:56,472.00-211.00,378.92,388.37,75.44,11.98,33.81,115.23,3.52,0.26(FY:076-077),#ValueFiscal Year1.1:1(FY: 079-080)2.(FY: 073-074)3.(FY: 072-073),5.00(FY:076-077),1:1(FY:079-080),56799.0,2170586565.0
BBC,5873.0,1.28,5950.0,5705.0,5719.0,1994.0,/CompanyDetail.aspx?symbol=BBC,Tradings,500000.0,5873.0,2025/01/05 02:59:49,"7,247.00-3,525.00",4793.9,4924.82,52.98,250.25,23.47,1685.32,3.48,,#ValueFiscal Year,,,1947.0,2936500000.0
BEDC,787.9,5.05,795.6,736.0,765.0,58799.0,/CompanyDetail.aspx?symbol=BEDC,Hydro Power,5440534.0,787.9,2025/01/05 02:59:58,795.60-311.00,518.71,538.35,140.65,3.55,221.94,54.75,14.39,,#ValueFiscal Year,,,63355.0,4286596738.6
BFC,645.0,-1.09,673.2,635.0,641.0,76557.0,/CompanyDetail.aspx?symbol=BFC,Finance,8904242.36,645.0,2025/01/05 02:59:59,951.60-309.10,645.33,673.2,104.44,-3.88,-166.24,134.91,4.78,,#ValueFiscal Year1.1:0.25(FY: 074-075)2.(FY: 072-073),20.00(FY:067-068),1:0.25(FY:074-075),89575.0,5743236322.2
BGWT,975.0,-0.41,990.0,966.0,985.0,6162.0,/CompanyDetail.aspx?symbol=BGWT,Hydro Power,5949473.0,975.0,2025/01/05 02:59:52,"1,361.70-547.60",973.94,966.66,71.05,5.71,170.75,110.68,8.81,10.74(FY:080-081),#ValueFiscal Year,4.00(FY:080-081),,6761.0,5800736175.0
BHDC,664.9,1.36,667.6,650.2,650.3,6609.0,/CompanyDetail.aspx?symbol=BHDC,Hydro Power,11340000.0,664.9,2025/01/05 02:59:32,829.70-426.00,632.56,626.3,45.17,22.55,29.49,117.29,5.67,5.26(FY:079-080),#ValueFiscal Year,8.00(FY:080-081),,17325.0,7539966000.0
BHL,374.7,7.06,376.0,354.0,354.0,24421.0,/CompanyDetail.aspx?symbol=BHL,Hydro Power,36559400.0,374.7,2025/01/05 02:59:52,520.00-276.90,414.86,409.58,25.32,-6.22,-60.24,75.05,4.99,,#ValueFiscal Year1.1:1(FY: 081-082),,1:1(FY:081-082),13914.0,13698807180.0
BHPL,839.9,-0.02,856.0,820.0,831.0,8464.0,/CompanyDetail.aspx?symbol=BHPL,Hydro Power,2500000.0,839.9,2025/01/05 02:59:59,931.70-435.20,721.86,737.98,89.59,4.27,196.7,53.77,15.62,,#ValueFiscal Year,,,14807.0,2099750000.0
BNHC,480.0,2.37,480.0,461.0,462.0,7804.0,/CompanyDetail.aspx?symbol=BNHC,Hydro Power,4000000.0,480.0,2025/01/05 02:59:46,742.00-376.10,540.96,496.97,28.34,-11.37,-42.22,84.45,5.68,,#ValueFiscal Year,,,11674.0,1920000000.0
