Symbol,LTP,% Change,Open,High,Low,Qty.,link,Sector,Shares Outstanding,Market Price,Last Traded On,52 Weeks High - Low,180 Day Average,120 Day Average,1 Year Yield,EPS,P/E Ratio,Book Value,PBV,% Dividend,#,% Bonus,Right Share,30-Day Avg Volume,Market Capitalization
ACLBSL,620.0,1.14,638.0,602.2,602.3,8564.0,/CompanyDetail.aspx?symbol=ACLBSL,Microfinance,3671434.1,620.0,2024/01/18 02:59:52,869.00-500.10,565.24,553.14,-27.06,2.77,223.83,137.68,4.5,,#ValueFiscal Year,,,2999.0,2276289142.0
ADBL,247.0,0.0,250.0,243.1,246.0,29336.0,/CompanyDetail.aspx?symbol=ADBL,Commercial Banks,134516740.8,247.0,2024/01/18 02:59:21,328.00-224.00,252.22,249.12,-23.77,-36.1,-6.84,206.78,1.19,,#ValueFiscal Year1.(FY: 071-072),,,34696.0,33225634977.6
ADBLD83,1046.7,-1.99,1046.7,1046.7,1046.7,100.0,/CompanyDetail.aspx?symbol=ADBLD83,Corporate Debenture,,1046.7,2024/01/18 01:48:22,"1,144.00-865.10",1003.95,1008.72,16.35,0.0,0.0,0.0,1046.7,,#ValueFiscal Year,,,1710.0,0.0
AHL,422.0,0.48,440.0,412.0,412.0,10065.0,/CompanyDetail.aspx?symbol=AHL,Hydro Power,3400000.0,422.0,2024/01/18 02:59:04,480.90-273.10,342.55,358.42,0.0,-0.27,-1562.96,112.56,3.75,,#ValueFiscal Year,,,16600.0,1434800000.0
AHPC,280.9,6.32,285.0,253.1,268.0,329566.0,/CompanyDetail.aspx?symbol=AHPC,Hydro Power,18679626.0,280.9,2024/01/18 02:59:53,360.80-190.00,223.27,224.82,-19.51,2.96,94.9,104.12,2.7,,#ValueFiscal Year1.(FY: 074-075)2.1:1(FY: 069-070),,,186544.0,5247106943.4
AKJCL,213.7,1.42,218.0,204.9,206.5,110717.0,/CompanyDetail.aspx?symbol=AKJCL,Hydro Power,8000000.0,213.7,2024/01/18 02:59:52,262.00-141.30,169.41,170.86,-12.74,4.84,44.15,70.33,3.04,,#ValueFiscal Year,,,95331.0,1709600000.0
AKPL,202.0,2.02,212.0,192.0,196.0,473951.0,/CompanyDetail.aspx?symbol=AKPL,Hydro Power,40814631.0,202.0,2024/01/18 02:59:59,430.00-152.40,184.84,179.63,-52.13,-15.62,-12.93,96.49,2.09,0.53(FY:078-079),#ValueFiscal Year1.1:1(FY: 080-081),,1:1(FY:),373834.0,8244555462.0
ALBSL,724.4,-3.93,746.0,719.1,739.0,4742.0,/CompanyDetail.aspx?symbol=ALBSL,Microfinance,6416160.0,724.4,2024/01/18 02:59:47,"1,099.00-543.00",690.39,667.38,-32.86,-16.47,-43.98,140.84,5.14,,#ValueFiscal Year,,,7282.0,4647866304.0
ALICL,688.6,0.53,696.0,673.0,673.0,77288.0,/CompanyDetail.aspx?symbol=ALICL,Life Insurance,31553005.2,688.6,2024/01/18 02:59:52,812.00-517.50,665.71,648.28,-3.83,0.0,0.0,111.96,6.15,,#ValueFiscal Year1.1:0.6(FY: 075-076)2.2:1(FY: 074-075)3.(FY: 072-073),,1:0.6(FY:075-076),56746.0,21727399380.72
ANLB,1835.0,-0.81,1875.0,1800.0,1815.0,550.0,/CompanyDetail.aspx?symbol=ANLB,Microfinance,685718.0,1835.0,2024/01/18 02:46:18,"2,651.00-403.80",1916.09,1796.05,0.0,30.82,59.54,453.67,4.04,,#ValueFiscal Year,,,1497.0,1258292530.0
