Symbol,LTP,% Change,Open,High,Low,Qty.,link,Sector,Shares Outstanding,Market Price,Last Traded On,52 Weeks High - Low,180 Day Average,120 Day Average,1 Year Yield,EPS,P/E Ratio,Book Value,PBV,% Dividend,#,% Bonus,Right Share,30-Day Avg Volume,Market Capitalization
ACLBSL,601.0,1.18,628.7,600.0,600.0,2009.0,/CompanyDetail.aspx?symbol=ACLBSL,Microfinance,3671434.1,601.0,2024/01/14 02:55:10,875.00-500.10,566.72,549.64,-27.06,2.77,216.97,137.68,4.37,,#ValueFiscal Year,,,2409.0,2206531894.1
ADBL,245.9,0.37,247.0,243.7,246.1,25759.0,/CompanyDetail.aspx?symbol=ADBL,Commercial Banks,134516740.8,245.9,2024/01/14 02:59:57,331.00-224.00,252.41,249.69,-25.53,-36.1,-6.81,206.78,1.19,,#ValueFiscal Year1.(FY: 071-072),,,32228.0,33077666562.72
AHL,452.0,7.08,459.0,422.1,430.0,22533.0,/CompanyDetail.aspx?symbol=AHL,Hydro Power,3400000.0,452.0,2024/01/14 02:59:50,480.90-273.10,339.98,352.74,0.0,-0.27,-1674.07,112.56,4.02,,#ValueFiscal Year,,,17448.0,1536800000.0
AHPC,274.9,0.88,277.9,268.0,277.9,411138.0,/CompanyDetail.aspx?symbol=AHPC,Hydro Power,18679626.0,274.9,2024/01/14 02:59:45,364.00-190.00,222.8,221.94,-16.95,2.96,92.87,104.12,2.64,,#ValueFiscal Year1.(FY: 074-075)2.1:1(FY: 069-070),,,169206.0,5135029187.4
AKJCL,214.0,6.15,215.9,203.0,203.0,99643.0,/CompanyDetail.aspx?symbol=AKJCL,Hydro Power,8000000.0,214.0,2024/01/14 02:59:44,262.00-141.30,168.77,168.0,-5.31,4.84,44.21,70.33,3.04,,#ValueFiscal Year,,,93325.0,1712000000.0
AKPL,197.0,3.68,199.9,190.0,190.0,562584.0,/CompanyDetail.aspx?symbol=AKPL,Hydro Power,40814631.0,197.0,2024/01/14 02:59:57,440.00-152.40,185.51,178.56,-51.72,-15.62,-12.61,96.49,2.04,0.53(FY:078-079),#ValueFiscal Year1.1:1(FY: 080-081),,1:1(FY:),357724.0,8040482307.0
ALBSL,755.0,3.62,759.7,730.1,743.0,6399.0,/CompanyDetail.aspx?symbol=ALBSL,Microfinance,6416160.0,755.0,2024/01/14 02:59:47,"1,142.90-543.00",692.11,664.37,-27.33,-16.47,-45.84,140.84,5.36,,#ValueFiscal Year,,,8422.0,4844200800.0
ALICL,680.0,1.34,685.5,657.6,657.6,41572.0,/CompanyDetail.aspx?symbol=ALICL,Life Insurance,31553005.2,680.0,2024/01/14 02:59:57,812.00-517.50,667.82,647.83,-0.58,0.0,0.0,111.96,6.07,,#ValueFiscal Year1.1:0.6(FY: 075-076)2.2:1(FY: 074-075)3.(FY: 072-073),,1:0.6(FY:075-076),51640.0,21456043536.0
ANLB,1813.0,3.6,1813.0,1749.0,1765.0,3079.0,/CompanyDetail.aspx?symbol=ANLB,Microfinance,685718.0,1813.0,2024/01/14 02:58:36,"2,651.00-403.80",1930.93,1802.21,0.0,30.82,58.83,453.67,4.0,,#ValueFiscal Year,,,1525.0,1243206734.0
API,194.0,4.86,194.5,188.0,188.0,402898.0,/CompanyDetail.aspx?symbol=API,Hydro Power,57865978.9,194.0,2024/01/14 02:59:59,315.00-154.70,178.82,175.6,-28.94,-2.77,-70.04,102.4,1.89,,#ValueFiscal Year1.1:0.40(FY: 080-081)2.1:0.393632926(FY: 078-079)3.1:0.2938(FY: 077-078)4.1:0.47619047619(FY: 076-077),,1:0.40(FY:080-081),292129.0,11225999906.6
