Symbol,LTP,% Change,Open,High,Low,Qty.,link,Sector,Shares Outstanding,Market Price,Last Traded On,52 Weeks High - Low,180 Day Average,120 Day Average,1 Year Yield,EPS,P/E Ratio,Book Value,PBV,% Dividend,#,% Bonus,Right Share,30-Day Avg Volume,Market Capitalization
ACLBSL,677.1,-1.66,690.1,675.0,675.0,5640.0,/CompanyDetail.aspx?symbol=ACLBSL,Microfinance,3671434.1,677.1,2024/03/17 02:59:28,716.30-500.10,577.24,590.79,14.45,6.8,99.57,144.39,4.69,,#ValueFiscal Year,,,2982.0,2485928029.11
ADBL,235.0,0.64,235.0,230.0,233.0,26682.0,/CompanyDetail.aspx?symbol=ADBL,Commercial Banks,134516740.8,235.0,2024/03/17 02:59:29,275.00-223.00,244.54,240.95,-10.13,15.3,15.36,220.0,1.07,,#ValueFiscal Year1.(FY: 071-072),2.00(FY:078-079),,20044.0,31611434088.0
ADBLD83,1010.0,-0.98,1020.0,1010.0,1020.0,500.0,/CompanyDetail.aspx?symbol=ADBLD83,Corporate Debenture,,1010.0,2024/03/17 01:23:41,"1,144.00-892.20",1008.88,1016.08,12.35,0.0,0.0,0.0,1010.0,,#ValueFiscal Year,,,241.0,0.0
AHL,435.0,-1.69,452.0,410.1,433.8,2850.0,/CompanyDetail.aspx?symbol=AHL,Hydro Power,3400000.0,435.0,2024/03/17 02:59:54,504.00-273.10,386.61,404.59,0.0,-13.5,-32.22,105.61,4.12,,#ValueFiscal Year,,,8744.0,1479000000.0
AHPC,183.0,-2.4,189.9,182.8,187.6,59599.0,/CompanyDetail.aspx?symbol=AHPC,Hydro Power,37359252.0,183.0,2024/03/17 02:59:59,316.00-176.00,219.14,220.0,-39.0,1.25,146.4,102.21,1.79,,#ValueFiscal Year1.1:1(FY: 080-081)2.(FY: 074-075)3.1:1(FY: 069-070),8.00(FY:078-079),1:1(FY:080-081),54339.0,6836743116.0
AKJCL,222.0,-2.55,228.0,221.6,228.0,32056.0,/CompanyDetail.aspx?symbol=AKJCL,Hydro Power,8000000.0,222.0,2024/03/17 02:59:48,250.00-141.30,190.99,204.35,-1.33,3.81,58.27,71.02,3.13,,#ValueFiscal Year,,,59817.0,1776000000.0
AKPL,185.2,-0.54,189.0,185.0,189.0,92452.0,/CompanyDetail.aspx?symbol=AKPL,Hydro Power,40814631.0,185.2,2024/03/17 02:59:59,417.00-152.40,183.87,184.65,-54.27,-15.65,-11.83,95.55,1.94,0.53(FY:078-079),#ValueFiscal Year1.1:1(FY: 080-081),,1:1(FY:),93050.0,7558869661.2
ALBSL,685.0,-0.85,688.0,667.0,678.1,4192.0,/CompanyDetail.aspx?symbol=ALBSL,Microfinance,6416160.0,685.0,2024/03/17 02:59:56,903.10-543.00,672.3,669.3,-3.52,-16.47,-41.59,140.84,4.86,,#ValueFiscal Year,14.29(FY:078-079),,3410.0,4395069600.0
ALICL,580.0,-2.01,591.0,580.0,585.0,20418.0,/CompanyDetail.aspx?symbol=ALICL,Life Insurance,33998363.1,580.0,2024/03/17 02:59:51,812.00-517.50,643.93,643.91,-5.55,0.0,0.0,111.1,5.22,0.41(FY:079-080),#ValueFiscal Year1.1:0.6(FY: 075-076)2.2:1(FY: 074-075)3.(FY: 072-073),7.75(FY:079-080),1:0.6(FY:075-076),38050.0,19719050598.0
ANLB,2237.9,3.44,2244.0,2183.0,2196.9,8575.0,/CompanyDetail.aspx?symbol=ANLB,Microfinance,685718.0,2237.9,2024/03/17 02:59:57,"2,651.00-403.80",1834.59,1805.52,0.0,34.48,64.9,389.8,5.74,,#ValueFiscal Year,10.00(FY:079-080),,2144.0,1534568312.2
API,186.9,-0.74,192.2,186.0,188.5,112547.0,/CompanyDetail.aspx?symbol=API,Hydro Power,57865979.12,186.9,2024/03/17 02:59:59,269.00-154.70,182.99,185.08,-27.73,0.07,2670.0,103.31,1.81,,#ValueFiscal Year1.1:0.40(FY: 080-081)2.1:0.393632926(FY: 078-079)3.1:0.2938(FY: 077-078)4.1:0.47619047619(FY: 076-077),7.50(FY:078-079),1:0.40(FY:080-081),124885.0,10815151497.53
AVYAN,640.0,-0.62,656.8,635.0,655.0,6679.0,/CompanyDetail.aspx?symbol=AVYAN,Microfinance,2500000.0,640.0,2024/03/17 02:59:57,807.80-549.00,611.08,609.17,0.63,-49.97,-12.81,74.62,8.58,,#ValueFiscal Year,,,4967.0,1600000000.0
BARUN,247.0,-1.59,254.5,246.0,250.5,29171.0,/CompanyDetail.aspx?symbol=BARUN,Hydro Power,5358150.0,247.0,2024/03/17 02:59:40,299.00-191.10,238.54,245.09,-4.85,-13.94,-17.72,104.2,2.37,0.26(FY:076-077),#ValueFiscal Year1.1:1(FY: 079-080)2.(FY: 073-074)3.(FY: 072-073),5.00(FY:076-077),1:1(FY:079-080),34700.0,1323463050.0
BBC,3899.8,-0.01,3964.9,3830.1,3830.1,236.0,/CompanyDetail.aspx?symbol=BBC,Tradings,500000.0,3899.8,2024/03/17 02:58:33,"4,539.00-3,050.00",3755.4,3790.81,19.59,250.25,15.58,1685.32,2.31,,#ValueFiscal Year,,,941.0,1949900000.0
BEDC,344.0,-3.07,354.0,341.0,347.9,12580.0,/CompanyDetail.aspx?symbol=BEDC,Hydro Power,5440534.0,344.0,2024/03/17 02:59:54,412.90-170.00,284.13,311.19,0.0,-4.21,-81.71,60.14,5.72,,#ValueFiscal Year,,,16438.0,1871543696.0
BFC,348.0,0.32,355.7,340.0,342.0,29645.0,/CompanyDetail.aspx?symbol=BFC,Finance,8548167.79,348.0,2024/03/17 02:59:58,377.00-284.00,317.55,322.94,6.68,2.54,137.01,135.83,2.56,,#ValueFiscal Year1.1:0.25(FY: 074-075)2.(FY: 072-073),20.00(FY:067-068),1:0.25(FY:074-075),24026.0,2974762390.92
BGWT,587.0,-1.84,595.0,587.0,587.0,4765.0,/CompanyDetail.aspx?symbol=BGWT,Hydro Power,5720647.0,587.0,2024/03/17 02:59:59,710.00-352.00,517.38,545.04,0.0,13.2,44.47,119.92,4.89,10.53(FY:079-080),#ValueFiscal Year,,,7972.0,3358019789.0
BHDC,475.0,-0.63,475.0,461.4,468.5,1731.0,/CompanyDetail.aspx?symbol=BHDC,Hydro Power,10500000.0,475.0,2024/03/17 02:59:49,523.00-286.50,409.0,434.27,4.9,16.75,28.36,116.84,4.07,5.26(FY:079-080),#ValueFiscal Year,5.00(FY:078-079),,6956.0,4987500000.0
BHL,337.0,-1.17,346.0,333.3,340.0,14390.0,/CompanyDetail.aspx?symbol=BHL,Hydro Power,18279700.0,337.0,2024/03/17 02:59:47,394.00-192.70,273.8,294.45,0.6,-18.3,-18.42,67.01,5.03,,#ValueFiscal Year,,,24025.0,6160258900.0
BHPL,476.5,0.29,482.5,471.2,476.0,2300.0,/CompanyDetail.aspx?symbol=BHPL,Hydro Power,2500000.0,476.5,2024/03/17 02:59:54,569.50-304.10,453.02,462.54,-8.72,-0.98,-486.22,57.0,8.36,,#ValueFiscal Year,,,5779.0,1191250000.0
