Symbol,LTP,% Change,Open,High,Low,Qty.,link,Sector,Shares Outstanding,Market Price,Last Traded On,52 Weeks High - Low,180 Day Average,120 Day Average,1 Year Yield,EPS,P/E Ratio,Book Value,PBV,% Dividend,#,% Bonus,Right Share,30-Day Avg Volume,Market Capitalization
ACLBSL,675.0,-0.31,683.0,670.0,670.0,4208.0,/CompanyDetail.aspx?symbol=ACLBSL,Microfinance,3671434.1,675.0,2024/03/18 02:54:47,716.30-500.10,578.5,591.87,14.1,6.8,99.26,144.39,4.67,,#ValueFiscal Year,,,3047.0,2478218017.5
ADBL,235.0,0.0,239.7,234.0,239.7,21615.0,/CompanyDetail.aspx?symbol=ADBL,Commercial Banks,134516740.8,235.0,2024/03/18 02:59:03,275.00-223.00,244.3,240.88,-10.13,15.3,15.36,220.0,1.07,,#ValueFiscal Year1.(FY: 071-072),2.00(FY:078-079),,20122.0,31611434088.0
ADBLD83,1028.0,1.78,1028.0,1028.0,1028.0,20.0,/CompanyDetail.aspx?symbol=ADBLD83,Corporate Debenture,,1028.0,2024/03/18 11:57:38,"1,144.00-892.20",1009.21,1016.32,14.35,0.0,0.0,0.0,1028.0,,#ValueFiscal Year,,,223.0,0.0
AHL,446.9,2.74,447.0,429.0,429.0,5599.0,/CompanyDetail.aspx?symbol=AHL,Hydro Power,3400000.0,446.9,2024/03/18 02:59:51,504.00-273.10,387.9,405.12,0.0,-13.5,-33.1,105.61,4.23,,#ValueFiscal Year,,,8587.0,1519460000.0
AHPC,184.2,0.66,186.5,181.5,185.0,36203.0,/CompanyDetail.aspx?symbol=AHPC,Hydro Power,37359252.0,184.2,2024/03/18 02:59:57,316.00-176.00,218.81,219.55,-38.6,1.25,147.36,102.21,1.8,,#ValueFiscal Year1.1:1(FY: 080-081)2.(FY: 074-075)3.1:1(FY: 069-070),8.00(FY:078-079),1:1(FY:080-081),53432.0,6881574218.4
AKJCL,222.0,0.0,225.0,221.0,225.0,19783.0,/CompanyDetail.aspx?symbol=AKJCL,Hydro Power,8000000.0,222.0,2024/03/18 02:59:51,250.00-141.30,191.61,204.57,-1.33,3.81,58.27,71.02,3.13,,#ValueFiscal Year,,,57815.0,1776000000.0
AKPL,186.4,0.65,187.8,183.0,186.0,51269.0,/CompanyDetail.aspx?symbol=AKPL,Hydro Power,40814631.0,186.4,2024/03/18 02:59:59,417.00-152.40,183.92,184.67,-53.98,-15.65,-11.91,95.55,1.95,0.53(FY:078-079),#ValueFiscal Year1.1:1(FY: 080-081),,1:1(FY:),90961.0,7607847218.4
ALBSL,696.6,1.69,698.0,680.0,680.0,3173.0,/CompanyDetail.aspx?symbol=ALBSL,Microfinance,6416160.0,696.6,2024/03/18 02:59:17,903.10-543.00,672.45,669.64,-1.89,-16.47,-42.3,140.84,4.95,,#ValueFiscal Year,14.29(FY:078-079),,3399.0,4469497056.0
ALICL,580.0,0.0,587.0,570.2,570.2,13175.0,/CompanyDetail.aspx?symbol=ALICL,Life Insurance,33998363.1,580.0,2024/03/18 02:59:57,812.00-517.50,643.0,643.11,-5.55,0.0,0.0,111.1,5.22,0.41(FY:079-080),#ValueFiscal Year1.1:0.6(FY: 075-076)2.2:1(FY: 074-075)3.(FY: 072-073),7.75(FY:079-080),1:0.6(FY:075-076),36806.0,19719050598.0
ANLB,2217.0,-0.93,2255.0,2120.0,2200.0,5300.0,/CompanyDetail.aspx?symbol=ANLB,Microfinance,685718.0,2217.0,2024/03/18 02:59:57,"2,651.00-403.80",1836.58,1810.66,0.0,34.48,64.3,389.8,5.69,,#ValueFiscal Year,10.00(FY:079-080),,2302.0,1520236806.0
API,186.5,-0.21,190.6,183.5,190.6,44837.0,/CompanyDetail.aspx?symbol=API,Hydro Power,57865979.12,186.5,2024/03/18 02:59:35,269.00-154.70,182.98,185.1,-27.88,0.07,2664.29,103.31,1.81,,#ValueFiscal Year1.1:0.40(FY: 080-081)2.1:0.393632926(FY: 078-079)3.1:0.2938(FY: 077-078)4.1:0.47619047619(FY: 076-077),7.50(FY:078-079),1:0.40(FY:080-081),120882.0,10792005105.88
AVYAN,644.8,0.75,654.0,630.0,630.0,6703.0,/CompanyDetail.aspx?symbol=AVYAN,Microfinance,2500000.0,644.8,2024/03/18 02:59:26,807.80-549.00,610.31,609.62,1.38,-49.97,-12.9,74.62,8.64,,#ValueFiscal Year,,,5054.0,1612000000.0
BARUN,247.6,0.24,250.0,245.0,250.0,18296.0,/CompanyDetail.aspx?symbol=BARUN,Hydro Power,5358150.0,247.6,2024/03/18 02:59:46,299.00-191.10,238.47,245.12,-4.62,-13.94,-17.76,104.2,2.38,0.26(FY:076-077),#ValueFiscal Year1.1:1(FY: 079-080)2.(FY: 073-074)3.(FY: 072-073),5.00(FY:076-077),1:1(FY:079-080),33880.0,1326677940.0
BBC,3894.0,-0.15,3894.0,3845.0,3850.0,446.0,/CompanyDetail.aspx?symbol=BBC,Tradings,500000.0,3894.0,2024/03/18 02:59:49,"4,539.00-3,050.00",3756.28,3792.15,19.41,250.25,15.56,1685.32,2.31,,#ValueFiscal Year,,,916.0,1947000000.0
BEDC,345.5,0.44,357.8,340.0,340.0,8288.0,/CompanyDetail.aspx?symbol=BEDC,Hydro Power,5440534.0,345.5,2024/03/18 02:59:46,412.90-170.00,285.23,311.62,0.0,-4.21,-82.07,60.14,5.74,,#ValueFiscal Year,,,16031.0,1879704497.0
BFC,349.1,0.32,352.0,346.0,351.8,21322.0,/CompanyDetail.aspx?symbol=BFC,Finance,8548167.79,349.1,2024/03/18 02:59:33,377.00-284.00,317.9,323.26,7.02,2.54,137.44,135.83,2.57,,#ValueFiscal Year1.1:0.25(FY: 074-075)2.(FY: 072-073),20.00(FY:067-068),1:0.25(FY:074-075),23890.0,2984165375.49
BGWT,602.0,2.56,645.7,581.1,581.1,8966.0,/CompanyDetail.aspx?symbol=BGWT,Hydro Power,5720647.0,602.0,2024/03/18 02:59:21,710.00-352.00,518.27,545.75,0.0,13.2,45.61,119.92,5.02,10.53(FY:079-080),#ValueFiscal Year,,,8021.0,3443829494.0
BHDC,475.0,0.0,475.4,460.0,465.5,6853.0,/CompanyDetail.aspx?symbol=BHDC,Hydro Power,10500000.0,475.0,2024/03/18 02:59:13,523.00-286.50,410.46,434.78,4.9,16.75,28.36,116.84,4.07,5.26(FY:079-080),#ValueFiscal Year,5.00(FY:078-079),,6951.0,4987500000.0
BHL,342.0,1.48,350.3,332.0,343.7,6770.0,/CompanyDetail.aspx?symbol=BHL,Hydro Power,18279700.0,342.0,2024/03/18 02:59:58,394.00-192.70,274.88,295.04,2.09,-18.3,-18.69,67.01,5.1,,#ValueFiscal Year,,,23162.0,6251657400.0
BHPL,485.0,1.78,485.0,471.0,471.0,1315.0,/CompanyDetail.aspx?symbol=BHPL,Hydro Power,2500000.0,485.0,2024/03/18 02:59:59,569.50-304.10,454.22,462.82,-7.09,-0.98,-494.9,57.0,8.51,,#ValueFiscal Year,,,5556.0,1212500000.0
BNHC,500.0,4.17,522.0,480.0,483.0,33172.0,/CompanyDetail.aspx?symbol=BNHC,Hydro Power,4000000.0,500.0,2024/03/18 02:59:58,522.00-270.10,386.62,406.03,16.99,1.63,306.75,91.83,5.44,,#ValueFiscal Year,,,16814.0,2000000000.0
BNT,13500.0,0.07,13945.0,13400.0,13490.0,976.0,/CompanyDetail.aspx?symbol=BNT,Manufacturing And Processing,1210000.0,13500.0,2024/03/18 02:58:23,"17,508.00-10,500.00",12843.63,12759.63,5.44,-342.47,-39.42,3173.06,4.25,,#ValueFiscal Year,,,1448.0,16335000000.0
BPCL,309.2,-0.26,313.9,308.0,309.0,5398.0,/CompanyDetail.aspx?symbol=BPCL,Hydro Power,34090650.0,309.2,2024/03/18 02:59:47,365.00-292.10,307.25,309.29,-2.77,10.46,29.56,206.73,1.5,,#ValueFiscal Year1.(FY: 070-071)2.3:2(FY: 070-071),5.00(FY:078-079),3:2(FY:070-071),9234.0,10540828980.0
C30MF,9.15,3.98,9.15,8.8,8.8,37300.0,/CompanyDetail.aspx?symbol=C30MF,Mutual Fund,75072390.0,9.15,2024/03/18 02:59:42,10.00-7.61,8.31,8.44,0.0,0.0,0.0,0.0,9.15,,#ValueFiscal Year,,,3732.0,686912368.5
CBBL,860.0,-0.35,867.0,851.0,858.0,7437.0,/CompanyDetail.aspx?symbol=CBBL,Microfinance,29771721.0,860.0,2024/03/18 02:59:56,"1,052.50-727.00",887.05,871.3,7.77,29.3,29.35,231.52,3.71,,#ValueFiscal Year,,,10162.0,25603680060.0
CBLD88,1024.0,1.38,1024.0,1005.0,1005.0,155.0,/CompanyDetail.aspx?symbol=CBLD88,Corporate Debenture,3000000.0,1024.0,2024/03/18 02:43:51,"1,024.00-824.10",967.68,984.36,24.09,0.0,0.0,0.0,1024.0,,#ValueFiscal Year,,,137.0,3072000000.0
CCBD88,1011.0,-0.59,1011.0,1010.0,1010.0,105.0,/CompanyDetail.aspx?symbol=CCBD88,Corporate Debenture,2200000.0,1011.0,2024/03/18 02:47:38,"1,022.90-831.00",968.3,988.09,21.02,0.0,0.0,0.0,1011.0,,#ValueFiscal Year,,,76.0,2224200000.0
